DATETIME,L_T1,L_T2,L_T3,L_T4,L_T5,L_T6,L_T7,F_PU1,S_PU1,F_PU2,S_PU2,F_PU3,S_PU3,F_PU4,S_PU4,F_PU5,S_PU5,F_PU6,S_PU6,F_PU7,S_PU7,F_PU8,S_PU8,F_PU9,S_PU9,F_PU10,S_PU10,F_PU11,S_PU11,F_V2,S_V2,P_J280,P_J269,P_J300,P_J256,P_J289,P_J415,P_J302,P_J306,P_J307,P_J317,P_J14,P_J422,ATT_FLAG
18/08/16 00,3.68,0.56,3.98,3.36,3.67,5.5,4.62,113.92,1,0,0,0,0,32.39,1,0,0,0,0,47.06,1,34.9,1,0,0,29.76,1,0,0,0,0,2.99,25.24,20.78,87.17,20.84,83.66,22.05,84.18,21.94,72.69,37.67,22.5,0
18/08/16 01,3.31,0.61,4.45,3.51,3.78,5.33,4.06,115.51,1,0,0,0,0,33.6,1,0,0,0,0,48.5,1,0,0,0,0,0,0,0,0,103.24,1,2.99,24.33,25.41,89.85,25.47,85.67,30.27,64.22,30.27,59.19,28.47,27.57,0
18/08/16 02,3.13,0.83,4.94,3.82,3.27,5.01,2.71,115.36,1,0,0,0,0,33.02,1,0,0,0,0,48.07,1,0,0,0,0,0,0,0,0,102.14,1,2.99,24.42,25.64,91.02,25.7,86.7,30.25,63.78,30.25,58.43,28.68,27.78,0
18/08/16 03,2.88,1.09,5.22,4.29,2.78,5.24,3.12,115.91,1,0,0,0,0,0,0,0,0,0,0,47.77,1,0,0,0,0,31.68,1,0,0,90.04,1,2.99,24.1,27.24,75.92,27.2,88.74,27.32,63.54,27.2,71.59,29.81,28.91,0
18/08/16 04,2.72,1.69,4.98,4.17,2.34,5.5,4.13,114.94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.96,1,0,0,71.2,1,2.99,24.66,30.16,75.84,30.16,69.71,27.99,63.27,27.88,78,32.45,31.55,0
18/08/16 05,2.73,2.44,4.75,3.48,1.94,5.39,4.28,115.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.36,1,2.99,24.57,30.57,75.59,30.57,66.55,30.23,62.57,30.23,60.56,32.84,31.94,0
18/08/16 06,2.71,2.97,4.52,3.24,1.54,5.14,3.26,115.92,1,0,0,0,0,0,0,0,0,0,0,49.82,1,36.74,1,0,0,0,0,0,0,79.66,1,2.99,24.09,28.48,74.52,28.44,86.12,26.63,85.46,26.63,58.59,31,30.1,0
18/08/16 07,2.49,3.26,4.24,3.56,2.23,5.07,2.75,118.43,1,0,0,0,0,0,0,0,0,0,0,48.38,1,34.54,1,0,0,29.86,1,0,0,67.11,1,2.99,22.66,28.37,72.16,28.34,88.75,19.61,82.37,19.51,69.96,30.82,29.92,0
18/08/16 08,2.14,3.44,3.87,4.3,2.77,5.41,3.55,119.05,1,0,0,0,0,0,0,0,0,0,0,49.78,1,34.64,1,0,0,30.25,1,0,0,62.83,1,2.99,22.29,28.41,73.39,28.37,86.14,19.06,81.65,18.96,68.14,30.84,29.94,0
18/08/16 09,1.78,3.57,3.57,4.43,3.16,5.5,3.83,120.33,1,0,0,0,0,0,0,0,0,0,0,50.3,1,34.45,1,0,0,30.12,1,0,0,55.12,1,2.99,21.55,28.41,70.74,28.37,85.12,18.31,81.22,18.2,67.81,30.81,29.91,0
18/08/16 10,1.4,3.61,3.18,4.18,3.47,5.5,3.56,120.32,1,0,0,0,0,0,0,0,0,0,0,49.44,1,34.54,1,0,0,29.7,1,0,0,54.12,1,2.99,21.56,28.45,69.6,28.41,86.84,18.36,81.11,18.26,69.21,30.84,29.94,0
18/08/16 11,1.03,3.46,3.26,4.49,3.71,5.5,3.7,120.4,1,0,0,0,0,35.47,1,0,0,0,0,48.77,1,33.74,1,0,0,29.53,1,0,0,59.73,1,2.99,21.51,27.38,88.67,27.45,87.15,18.51,82.6,18.41,69.89,30.21,29.31,0
18/08/16 12,0.97,3.75,3.76,3.27,3.92,5.5,4.02,97.9,1,97.92,1,0,0,36.14,1,0,0,0,0,0,0,0,0,0,0,31.47,1,0,0,68.3,1,2.97,34.1,29.33,89.44,29.45,61.79,26.03,62.99,25.92,71.02,31.83,30.93,0
18/08/16 13,1.04,3.75,4.24,2.97,3.18,5.5,4.26,97.83,1,97.85,1,0,0,33.73,1,0,0,0,0,49.59,1,0,0,0,0,31.6,1,0,0,75.83,1,2.97,34.14,28.12,92.36,28.18,86.32,26.08,63.06,25.97,70.63,31.01,30.11,0
18/08/16 14,1.12,3.67,4.8,3.38,2.57,5.5,4.37,97.7,1,97.72,1,0,0,35.01,1,0,0,0,0,50.22,1,0,0,0,0,30.63,1,0,0,77.27,1,2.97,34.21,28.01,90.1,28.08,84.99,26.32,60.81,26.2,74.14,30.94,30.04,0
18/08/16 15,1.24,3.6,5.28,3.42,1.72,5.42,4.55,96.81,1,96.83,1,0,0,34.24,1,0,0,0,0,50.06,1,0,0,0,0,0,0,0,0,83.11,1,2.98,34.69,28.01,91.4,28.07,85.3,29.42,60.96,29.42,57.62,30.96,30.06,0
18/08/16 16,1.39,3.81,5.16,3.54,1.61,5.03,2.76,97.34,1,97.36,1,0,0,0,0,0,0,0,0,49.78,1,36.84,1,0,0,0,0,0,0,74.01,1,2.97,34.4,29.1,74.86,29.06,86.82,25.74,84.38,25.74,56.48,31.59,30.69,0
18/08/16 17,1.36,4.05,4.87,3.92,2.16,5.15,2.69,97.31,1,97.33,1,0,0,0,0,0,0,0,0,49.76,1,35.03,1,0,0,30.72,1,0,0,71.81,1,2.97,34.42,29.26,73.02,29.22,87.03,19.81,81.74,19.7,67.34,31.74,30.84,0
18/08/16 18,1.34,4.28,4.51,4.28,2.6,5.32,2.77,97.79,1,97.81,1,0,0,0,0,0,0,0,0,50.12,1,34.73,1,0,0,30.53,1,0,0,68.78,1,2.97,34.16,29.38,73.19,29.34,86.44,19.71,82.15,19.6,67.88,31.85,30.95,0
18/08/16 19,1.28,4.47,4.18,4.45,3.06,5.5,3.03,98.39,1,98.41,1,0,0,0,0,0,0,0,0,50.05,1,34.63,1,0,0,29.89,1,0,0,65.12,1,2.97,33.83,29.48,69.99,29.44,86.68,19.58,82.19,19.48,69.83,31.93,31.03,0
18/08/16 20,1.22,4.81,3.73,3.78,3.48,5.5,3.37,97.87,1,97.89,1,0,0,0,0,0,0,0,0,0,0,34.4,1,0,0,30.22,1,0,0,49.06,1,2.97,34.12,31.55,69.23,31.55,58.97,19.67,82.67,19.56,68.86,33.75,32.85,0
18/08/16 21,1.16,5.09,3.27,2.93,3.93,5.5,3.43,98.56,1,98.58,1,0,0,0,0,0,0,0,0,50.93,1,34.68,1,0,0,30.46,1,0,0,59.45,1,2.97,33.75,29.97,69.61,29.92,85.42,19.27,81.8,19.16,67.69,32.39,31.49,0
18/08/16 22,1.17,5.07,3.17,3.07,3.38,5.5,3.3,98.17,1,98.18,1,0,0,37.13,1,0,0,0,0,50.76,1,0,0,0,0,32.34,1,0,0,66.47,1,2.97,33.96,29.05,87.37,29.12,84.97,25.92,61.58,25.8,67.86,31.96,31.06,0
18/08/16 23,1.22,4.85,3.61,3.1,2.52,5.5,2.95,98.02,1,98.04,1,0,0,36.34,1,0,0,0,0,50.6,1,0,0,0,0,32.34,1,0,0,68.41,1,2.97,34.04,28.93,88.68,29,85.15,26.01,60.44,25.88,67.95,31.84,30.94,0
19/08/16 00,1.27,4.66,4.07,3.18,1.63,5.5,2.7,98.33,1,98.35,1,0,0,35.45,1,0,0,0,0,50.09,1,0,0,0,0,31.01,1,0,0,68.57,1,2.97,33.87,28.8,90.13,28.87,86.03,26.13,61.37,26.02,72.69,31.69,30.79,0
19/08/16 01,1.19,4.47,4.57,3.47,1.85,5.5,3.36,97.2,1,97.22,1,0,0,34.57,1,0,0,0,0,49.88,1,34.9,1,0,0,28.76,1,0,0,72.53,1,2.97,34.47,28.75,91.58,28.81,86.39,20.26,82.39,20.16,74.03,31.64,30.74,0
19/08/16 02,1.2,4.35,5.1,3.79,2.4,5.5,4.37,96.99,1,97,1,0,0,33.75,1,0,0,0,0,48.95,1,34.71,1,0,0,28.79,1,0,0,73.99,1,2.98,34.59,28.71,92.91,28.77,88.13,20.39,82.86,20.29,74.05,31.58,30.68,0
19/08/16 03,1.29,4.43,5.23,4.39,2.99,5.36,4.12,96.36,1,96.38,1,0,0,0,0,0,0,0,0,48.82,1,35.98,1,0,0,0,0,0,0,73.13,1,2.98,34.93,29.73,75.38,29.69,89.28,26.22,86.42,26.22,60.75,32.21,31.31,0
19/08/16 04,1.49,4.97,4.97,3.83,3.73,5.12,3.21,94.86,1,94.88,1,0,0,0,0,0,0,0,0,0,0,35.83,1,0,0,0,0,0,0,59.31,1,2.98,35.73,32.44,76.14,32.44,68.86,27.01,87.47,27.01,59.72,34.67,33.77,0
19/08/16 05,1.77,5.6,4.76,3.05,3.92,5.03,2.77,90.17,1,90.19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.25,1,0,0,0,0,2.98,38.21,30.6,75.29,30.6,69.52,29.89,63.99,29.77,72.17,41.58,31.79,0
19/08/16 06,2.25,5.21,4.51,3.8,3.35,5.44,3.79,87.95,1,87.97,1,0,0,0,0,0,0,0,0,49.59,1,0,0,0,0,32.76,1,0,0,0,0,2.98,39.37,28.26,74.49,28.22,86.36,31.08,63.45,30.96,71.51,43.04,29.63,0
19/08/16 07,2.79,4.69,4.23,4.08,2.77,5.5,4.76,91.37,1,91.38,1,0,0,0,0,0,0,0,0,49.57,1,0,0,0,0,30.31,1,0,0,0,0,2.98,37.58,27.73,72.6,27.69,85.87,30.04,62.32,29.93,78.92,41.11,29.1,0
19/08/16 08,3.27,4.16,3.88,4.22,2.11,5.31,4.12,88.4,1,88.41,1,0,0,0,0,0,0,0,0,49.44,1,0,0,0,0,0,0,0,0,0,0,2.98,39.13,27.22,72.81,27.18,85.61,34.49,62.34,34.49,55.53,43.37,28.59,0
19/08/16 09,3.81,3.64,3.56,4.29,1.56,4.86,2.01,91.94,1,91.96,1,0,0,0,0,0,0,0,0,48.72,1,0,0,0,0,33.53,1,0,0,0,0,2.98,37.28,26.74,68.74,26.71,86.5,29.7,60.97,29.56,67.41,40.99,28.11,0
19/08/16 10,3.99,3.28,3.09,4.09,1.75,4.97,1.89,91.72,1,91.74,1,0,0,0,0,0,0,0,0,0,0,36.58,1,0,0,31.56,1,0,0,0,0,2.98,37.39,28.28,69.53,28.28,61.88,22.59,81.77,22.48,67.28,40.83,29.47,0
19/08/16 11,4.2,2.85,3.35,2.86,2.09,5.16,2.06,91.83,1,91.85,1,0,0,34.36,1,0,0,0,0,48.11,1,36.09,1,0,0,31.72,1,0,0,0,0,2.98,37.33,22.73,85.92,22.8,83.71,22.71,82.78,22.59,66.84,40.83,24.49,0
19/08/16 12,4.38,1.98,3.74,2.96,2.55,5.28,2,92.12,1,92.14,1,0,0,32.5,1,0,0,0,0,48.31,1,35.69,1,0,0,31.2,1,0,0,0,0,2.98,37.18,22.05,88.27,22.11,82.65,22.89,83.66,22.78,68.82,40.74,23.79,0
19/08/16 13,4.46,1.13,4.21,2.69,3.08,5.5,2.6,113.59,1,0,0,0,0,33.07,1,0,0,0,0,47.4,1,36.04,1,0,0,30.47,1,0,0,0,0,2.99,25.43,21.23,86.53,21.29,83.5,21.95,82.1,21.84,70.32,38.04,22.97,0
19/08/16 14,4.18,0.51,4.62,2.88,3.34,5.5,3.03,118.78,1,0,0,0,0,33.7,1,0,0,0,0,49.03,1,34.38,1,0,0,29.9,1,0,0,91.15,1,2.99,22.45,25.01,89.28,25.07,84.27,19.61,82.63,19.51,69.84,27.99,27.09,0
19/08/16 15,3.67,0.59,5.09,3,3.8,5.5,3.38,119.57,1,0,0,0,0,33.8,1,0,0,0,0,49.01,1,34.21,1,0,0,29.97,1,0,0,87.05,1,2.99,22,25.04,89.16,25.1,84.34,19.09,82.41,18.99,69.1,28,27.1,0
19/08/16 16,3.23,0.82,5.11,3.12,3.65,5.5,3.59,117.65,1,0,0,0,0,0,0,0,0,0,0,49.19,1,0,0,0,0,31.81,1,0,0,86.98,1,2.99,23.11,26.71,71.23,26.67,85.58,26.46,63,26.35,70.28,29.28,28.38,0
19/08/16 17,2.88,1.21,4.67,3.42,2.95,5.5,3.74,117.21,1,0,0,0,0,0,0,0,0,0,0,49.28,1,0,0,0,0,31.44,1,0,0,85.98,1,2.99,23.36,27.04,73.07,27.01,85.73,26.68,62.72,26.57,71.77,29.6,28.7,0
19/08/16 18,2.6,1.59,4.32,3.69,2.32,5.5,4.16,117.58,1,0,0,0,0,0,0,0,0,0,0,49.23,1,0,0,0,0,31.47,1,0,0,82.43,1,2.99,23.15,27.25,72.76,27.21,86.04,26.43,60.67,26.32,71.41,29.79,28.89,0
19/08/16 19,2.32,1.92,3.97,3.97,1.51,5.5,4.44,120.05,1,0,0,0,0,0,0,0,0,0,0,49.31,1,35.04,1,0,0,29.99,1,0,0,69.96,1,2.99,21.72,27.09,71.04,27.06,85.73,18.43,80.33,18.33,68.35,29.56,28.66,0
19/08/16 20,1.89,2.13,3.57,4.14,1.85,5.5,4.17,121.19,1,0,0,0,0,0,0,0,0,0,0,49.71,1,34.73,1,0,0,29.75,1,0,0,63.28,1,2.99,21.05,27.11,70.29,27.07,84.98,17.81,80.24,17.7,68.51,29.55,28.65,0
19/08/16 21,1.45,2.26,3.15,4.04,2.17,5.5,4.02,121.73,1,0,0,0,0,0,0,0,0,0,0,49.77,1,34.69,1,0,0,29.58,1,0,0,59.18,1,2.99,20.74,27.16,70.33,27.12,84.91,17.48,79.98,17.37,68.71,29.58,28.68,0
19/08/16 22,1,2.18,3.19,3.92,2.42,5.5,3.97,122.55,1,0,0,0,0,35.92,1,0,0,0,0,49.45,1,33.96,1,0,0,29.35,1,0,0,60.4,1,2.99,20.26,26.07,86.57,26.15,84.55,17.16,80.89,17.06,69.1,28.93,28.03,0
19/08/16 23,0.82,2.11,3.61,3.79,2.85,5.5,4.07,98.93,1,98.95,1,0,0,35.15,1,0,0,0,0,49.49,1,35.08,1,0,0,30.02,1,0,0,82.17,1,2.97,33.55,26.51,88.35,26.58,84.91,19.02,80.85,18.91,68.85,29.46,28.56,0
20/08/16 00,0.7,2.09,4.07,3.79,3.08,5.5,4,98.48,1,98.49,1,0,0,34.64,1,0,0,0,0,48.6,1,34.38,1,0,0,29.2,1,0,0,83.83,1,2.97,33.79,26.51,89.21,26.57,86.6,19.55,82.57,19.45,71.97,29.45,28.55,0
20/08/16 01,0.62,2.09,4.55,4.21,3.57,5.5,4.6,97.87,1,97.89,1,0,0,33.34,1,0,0,0,0,48.01,1,34.07,1,0,0,28.67,1,0,0,85.67,1,2.97,34.11,26.56,91.43,26.62,87.72,19.96,83.51,19.86,74,29.49,28.59,0
20/08/16 02,0.75,2.28,5.09,4.31,3.85,5.28,3.81,96.47,1,96.49,1,0,0,33.97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.42,1,2.98,34.87,28.72,92.56,28.82,66.99,29.3,64.25,29.3,58.84,31.26,30.36,0
20/08/16 03,1.05,2.9,5.22,3.19,3.34,4.96,2.44,95.96,1,95.98,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.88,1,0,0,66.19,1,2.98,35.14,30.93,75.83,30.93,66.95,26.83,63.89,26.71,70.41,33.2,32.3,0
20/08/16 04,1.22,3.32,4.98,3.45,2.85,5.3,3.2,95.99,1,96.01,1,0,0,0,0,0,0,0,0,48.14,1,0,0,0,0,31.42,1,0,0,80.98,1,2.98,35.12,28.98,76.3,28.94,89.81,26.94,63.85,26.83,72.1,31.5,30.6,0
20/08/16 05,1.41,3.67,4.78,4.34,2.47,5.5,4.39,96.49,1,96.51,1,0,0,0,0,0,0,0,0,48.52,1,0,0,0,0,30.06,1,0,0,77.73,1,2.98,34.86,29.16,75.27,29.12,89.28,27.03,62.69,26.93,76.74,31.66,30.76,0
20/08/16 06,1.68,4.28,4.53,3.78,1.92,5.33,4.02,94.59,1,94.61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.66,1,2.98,35.87,32.26,74.36,32.26,66.47,30.65,62.06,30.65,58.77,34.53,33.63,0
20/08/16 07,1.96,4.86,4.24,3.09,1.66,5,2.58,96.09,1,96.11,1,0,0,0,0,0,0,0,0,50.26,1,37.05,1,0,0,0,0,0,0,73.02,1,2.98,35.07,30.09,74.41,30.05,86.87,26.51,84.76,26.51,56.69,32.58,31.68,0
20/08/16 08,1.97,5.08,3.98,3.51,2.21,5.19,2.79,96.81,1,96.83,1,0,0,0,0,0,0,0,0,50.37,1,34.96,1,0,0,30.7,1,0,0,68.37,1,2.98,34.69,30.16,71.43,30.12,86.73,20.35,82.39,20.24,67.95,32.63,31.73,0
20/08/16 09,1.93,5.26,3.59,3.84,2.72,5.41,3.02,97.24,1,97.26,1,0,0,0,0,0,0,0,0,50.72,1,34.89,1,0,0,30.68,1,0,0,65.52,1,2.97,34.46,30.26,69.6,30.22,86.14,20.16,82.32,20.05,67.82,32.72,31.82,0
20/08/16 10,1.86,5.41,3.15,3.96,3.17,5.5,3.27,97.41,1,97.43,1,0,0,0,0,0,0,0,0,50.92,1,35.18,1,0,0,30.63,1,0,0,63.59,1,2.97,34.36,30.36,68.33,30.32,85.84,19.98,81.64,19.87,67.81,32.81,31.91,0
20/08/16 11,1.78,5.3,3.3,3.96,3.46,5.5,3.08,96.98,1,97,1,0,0,35.67,1,0,0,0,0,50.49,1,34.76,1,0,0,30.25,1,0,0,69.42,1,2.98,34.6,29.45,90.38,29.52,85.9,20.34,82.73,20.24,69.43,32.35,31.45,0
20/08/16 12,1.74,5.13,3.83,4.03,3.88,5.5,3.31,97.49,1,97.51,1,0,0,36.57,1,0,0,0,0,49.82,1,34.7,1,0,0,30.22,1,0,0,68.82,1,2.97,34.32,29.25,88.59,29.32,87.01,20.13,82.61,20.02,69.31,32.15,31.25,0
20/08/16 13,1.76,4.96,4.28,4.37,3.49,5.5,3.57,97.37,1,97.39,1,0,0,35.97,1,0,0,0,0,49.76,1,0,0,0,0,31.6,1,0,0,71.13,1,2.97,34.38,29.16,89.57,29.24,87.05,26.67,62.96,26.55,71.2,32.07,31.17,0
20/08/16 14,1.83,5.06,4.76,3.75,2.81,5.5,3.91,96.13,1,96.15,1,0,0,35.58,1,0,0,0,0,0,0,0,0,0,0,31.5,1,0,0,67.87,1,2.98,35.05,30.65,91.75,30.76,65.25,27.2,62.39,27.08,72.1,33.14,32.24,0
20/08/16 15,1.97,5.21,5.28,3.18,2.15,5.5,4.36,96.45,1,96.46,1,0,0,35.35,1,0,0,0,0,50.26,1,0,0,0,0,31.18,1,0,0,73.34,1,2.98,34.88,29.47,90.96,29.53,86.37,27.19,62.18,27.08,73.16,32.38,31.48,0
20/08/16 16,2.12,5.41,4.94,3.52,1.57,5.42,4.42,95.45,1,95.47,1,0,0,0,0,0,0,0,0,50.62,1,0,0,0,0,0,0,0,0,73.93,1,2.98,35.42,30.66,73.42,30.62,86.75,30.48,61.17,30.48,57.18,33.16,32.26,0
20/08/16 17,2.37,5.25,4.6,3.8,2,5.01,2.56,91.69,1,91.71,1,0,0,0,0,0,0,0,0,49.71,1,37.74,1,0,0,0,0,0,0,0,0,2.98,37.41,28.29,72.12,28.25,86.16,28.58,85.54,28.58,55.72,40.73,29.66,0
20/08/16 18,2.62,4.73,4.21,4.03,2.54,5.19,2.64,92.71,1,92.73,1,0,0,0,0,0,0,0,0,49,1,35.76,1,0,0,30.86,1,0,0,0,0,2.98,36.87,27.81,71.87,27.77,87.04,21.92,82.56,21.8,68.98,39.9,29.18,0
20/08/16 19,2.86,4.21,3.83,4.43,2.95,5.46,3.16,93.92,1,93.94,1,0,0,0,0,0,0,0,0,49.25,1,35.59,1,0,0,31.05,1,0,0,0,0,2.98,36.23,27.28,70.28,27.24,86.03,21.42,82.37,21.31,67.85,39.29,28.65,0
20/08/16 20,3.03,3.96,3.41,3.7,3.32,5.5,3.38,93.16,1,93.18,1,0,0,0,0,0,0,0,0,0,0,35.82,1,0,0,30.72,1,0,0,0,0,2.98,36.63,28.96,69.4,28.96,61.24,21.89,82.43,21.78,69.43,39.76,30.15,0
20/08/16 21,3.22,3.63,3.03,3.01,3.62,5.5,3.51,92.9,1,92.92,1,0,0,34.66,1,0,0,0,0,48.67,1,35.92,1,0,0,31.3,1,0,0,0,0,2.98,36.77,23.4,86.08,23.47,83.35,21.92,82.28,21.8,67.49,39.96,25.18,0
20/08/16 22,3.41,2.75,3.44,2.9,3.85,5.5,3.13,93.73,1,93.74,1,0,0,34.69,1,0,0,0,0,48.69,1,35.79,1,0,0,31.35,1,0,0,0,0,2.98,36.33,22.52,85.14,22.58,82.43,21.63,82.23,21.51,67.03,39.57,24.29,0
20/08/16 23,3.58,1.86,3.81,2.46,3.77,5.5,2.76,91.43,1,91.45,1,0,0,34.41,1,0,0,0,0,48.27,1,0,0,0,0,32.75,1,0,0,0,0,2.98,37.55,21.71,84.81,21.78,82.4,29.96,61.77,29.84,70.42,41.24,23.48,0
21/08/16 00,3.91,0.99,4.14,2.3,2.89,5.5,3.01,89.56,1,89.58,1,0,0,31.8,1,0,0,0,0,47.05,1,0,0,0,0,32.07,1,0,0,0,0,2.98,38.53,21.28,88.57,21.33,84.16,31.11,62.61,30.99,74,42.44,22.99,0
21/08/16 01,4.12,0.63,4.63,2.71,2.25,5.5,3.8,94.58,1,94.6,1,0,0,33.03,1,0,0,0,0,47.98,1,0,0,0,0,30.86,1,0,0,111.92,1,2.98,35.88,25.82,91.19,25.88,87.04,29.19,62.73,29.08,76.27,28.93,28.03,0
21/08/16 02,4.11,0.95,5.16,3.37,1.75,5.48,4.69,94.01,1,94.03,1,0,0,32.48,1,0,0,0,0,47.98,1,0,0,0,0,0,0,0,0,112.25,1,2.98,36.18,26.19,92.44,26.25,87.41,31.89,62.41,31.89,60.48,29.3,28.4,0
21/08/16 03,4.23,1.47,5.12,4.01,1.59,5.21,3.52,93.5,1,93.52,1,0,0,0,0,0,0,0,0,47.47,1,36.82,1,0,0,0,0,0,0,101.56,1,2.98,36.45,28.39,76.85,28.35,90.44,28.79,87.46,28.79,60.04,31.04,30.14,0
21/08/16 04,4.33,2.19,4.95,4.18,2.47,4.95,2.56,92.68,1,92.7,1,0,0,0,0,0,0,0,0,0,0,36.8,1,0,0,0,0,0,0,82.5,1,2.98,36.89,31.75,76.42,31.75,69.68,29.17,87.89,29.17,59.7,34.11,33.21,0
21/08/16 05,4.37,3.04,4.76,3.47,3.26,5.3,3.49,92.91,1,92.93,1,0,0,0,0,0,0,0,0,0,0,34.67,1,0,0,30.44,1,0,0,77.64,1,2.98,36.77,32.11,76.11,32.11,68.86,23.37,85.91,23.26,71.83,34.44,33.54,0
21/08/16 06,4.39,3.73,4.57,3.32,4.03,5.5,4.66,93.39,1,93.41,1,0,0,0,0,0,0,0,0,49.08,1,0,0,0,0,30.44,1,0,0,92.07,1,2.98,36.51,29.92,75.33,29.88,88.98,29.79,64.81,29.68,78.26,32.51,31.61,0
21/08/16 07,4.51,4.18,4.33,4.07,3.6,5.32,4.11,112.95,1,0,0,0,0,0,0,0,0,0,0,49.25,1,0,0,0,0,0,0,0,0,84.67,1,2.99,25.79,29.96,74.56,29.92,88.7,31.85,63.67,31.85,59.67,32.51,31.61,0
21/08/16 08,4.45,4.65,4.07,4.19,3.02,5.03,2.88,113.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.92,1,2.99,25.54,32.41,73.44,32.41,66.24,31.78,62.54,31.78,57.08,34.66,33.76,0
21/08/16 09,4.27,5.28,3.76,2.99,2.35,5.14,2.81,115.24,1,0,0,0,0,0,0,0,0,0,0,50.77,1,0,0,0,0,32.44,1,0,0,69.42,1,2.99,24.49,30.38,71.03,30.33,86.16,27.92,61.49,27.8,69.51,32.85,31.95,0
21/08/16 10,3.99,5.46,3.37,3.27,1.62,5.42,3.27,115.74,1,0,0,0,0,0,0,0,0,0,0,51.11,1,0,0,0,0,32.6,1,0,0,65.73,1,2.99,24.2,30.45,70.33,30.41,85.54,27.58,59.81,27.46,68.59,32.91,32.01,0
21/08/16 11,3.77,5.13,3.04,3.33,1.77,5.5,3.38,113.76,1,0,0,0,0,34.91,1,0,0,0,0,49.13,1,36.09,1,0,0,30.51,1,0,0,0,0,2.99,25.33,24.83,87.07,24.89,83.9,21.67,81.73,21.56,69.9,37.76,26.61,0
21/08/16 12,3.65,4.24,3.48,3.22,2.14,5.5,3.62,113.69,1,0,0,0,0,35.17,1,0,0,0,0,48.94,1,36.05,1,0,0,30.38,1,0,0,0,0,2.99,25.37,23.93,85.73,24,83.37,21.7,81.84,21.59,70.36,37.75,25.71,0
21/08/16 13,3.55,3.35,3.86,3.01,2.49,5.5,3.91,114.66,1,0,0,0,0,33.99,1,0,0,0,0,48.36,1,35.72,1,0,0,30.71,1,0,0,0,0,2.99,24.82,23.24,87.05,23.31,83.76,21.2,81.92,21.09,68.78,37.28,25,0
21/08/16 14,3.39,2.48,4.28,3.06,2.84,5.5,3.79,115.13,1,0,0,0,0,34.05,1,0,0,0,0,48.14,1,35.55,1,0,0,30.46,1,0,0,0,0,2.99,24.55,22.39,86.09,22.45,83.32,21.03,82.04,20.92,69.43,37.02,24.15,0
21/08/16 15,3.21,1.61,4.65,3.01,3.18,5.5,3.86,115.13,1,0,0,0,0,33.48,1,0,0,0,0,47.78,1,35.38,1,0,0,30.74,1,0,0,0,0,2.99,24.55,21.63,86.27,21.69,83.22,20.96,82.28,20.85,68.44,36.97,23.37,0
21/08/16 16,3.06,0.75,5.02,2.99,3.53,5.5,3.67,115.76,1,0,0,0,0,33.46,1,0,0,0,0,47.66,1,35.29,1,0,0,30.44,1,0,0,0,0,2.99,24.19,20.78,85.45,20.84,82.58,20.69,82.16,20.58,69.14,36.63,22.53,0
21/08/16 17,2.63,0.54,5.2,2.85,3.8,5.5,3.67,120.4,1,0,0,0,0,0,0,0,0,0,0,49.72,1,34.49,1,0,0,30.02,1,0,0,77.97,1,2.99,21.51,25.98,70.52,25.94,83.82,18.37,81.22,18.27,68.21,28.49,27.59,0
21/08/16 18,2.17,0.83,4.74,2.78,3.93,5.5,3.55,119.62,1,0,0,0,0,0,0,0,0,0,0,49.95,1,0,0,0,0,31.57,1,0,0,79.88,1,2.99,21.97,26.34,69.32,26.3,83.73,25.23,62.24,25.11,69.89,28.87,27.97,0
21/08/16 19,1.81,1.13,4.25,2.67,3.09,5.5,3.66,119.81,1,0,0,0,0,0,0,0,0,0,0,50.11,1,0,0,0,0,31.66,1,0,0,77.09,1,2.99,21.86,26.52,70.12,26.48,83.6,25.05,61.84,24.93,69.39,29.03,28.13,0
21/08/16 20,1.47,1.41,3.8,2.53,2.3,5.5,3.64,120.4,1,0,0,0,0,0,0,0,0,0,0,50.22,1,0,0,0,0,31.53,1,0,0,72.89,1,2.99,21.51,26.64,69.61,26.59,83.5,24.69,60.08,24.57,69.49,29.13,28.23,0
21/08/16 21,1.14,1.63,3.36,2.38,1.39,5.5,3.65,121.98,1,0,0,0,0,0,0,0,0,0,0,50.3,1,34.67,1,0,0,29.57,1,0,0,62.87,1,2.99,20.6,26.59,69.59,26.54,83.3,17.31,79.84,17.2,68.57,29.03,28.13,0
21/08/16 22,0.89,1.88,2.92,2.21,1.74,5.5,3.68,99.08,1,99.1,1,0,0,35.23,1,0,0,0,0,50.16,1,35.22,1,0,0,29.96,1,0,0,83.32,1,2.97,33.46,26.29,88.71,26.36,83.39,18.96,80.55,18.85,68.98,29.26,28.36,0
